# generated by ews.pipeline on 2026-05-12T02:21:30, loader=derived
ticker,date,ret_1m,ret_3m,ret_6m,vol_3m,vol_6m,drawdown_12m
INTC,2011-01-31,0.020446570853691837,0.051434246183413856,0.044225454891306804,0.15429981556094471,0.19313507939956098,0.25968727845451683
PFE,2011-01-31,0.04054823320578271,0.04474345678388558,0.13913229674722816,0.13942718734904674,0.18185660455635239,0.25031404998121515
SPG,2011-01-31,0.019700735471706476,0.036871751184551105,0.10503881923282732,0.23967751934277937,0.2199496417439676,0.16151021312708974
XOM,2011-01-31,0.10339190273741439,0.21266620269568226,0.3037139925626844,0.14331403064797585,0.14728980960657756,0.17803204521533006
AAL,2011-02-28,-0.15255915576271184,-0.23670225550208213,-0.02931213792208376,0.4782090968870499,0.46062856455018386,0.30157419383821027
BBBY,2011-02-28,0.02832097629498742,-0.007807409658592612,0.09554597100693085,0.3818942893104689,0.46204937545554187,0.46948162458578757
F,2011-02-28,-0.07498461252417843,-0.06288895126048655,0.3259916550007038,0.365166948987331,0.3436586241311267,0.31673598036460043
GE,2011-02-28,0.04281116601140478,0.32941988175429304,0.47299573202372147,0.23141651807894686,0.2273557244114912,0.2836858788632392
INTC,2011-02-28,0.008936352953317739,0.015085304899974394,0.21499334485592758,0.1616519812798078,0.18332230388099177,0.25968727845451683
PFE,2011-02-28,0.07120152053704287,0.1740527726534984,0.23854486420809606,0.17383856860078453,0.17218777599386065,0.1885851252082831
SPG,2011-02-28,0.10907976369894645,0.1230095082059095,0.24491397795192915,0.18540254301212875,0.21435068720833236,0.16151021312708974
XOM,2011-02-28,0.08850180875686164,0.2380240299223706,0.46647643529442306,0.15814253980847953,0.15532934440493196,0.17803204521533006
AAL,2011-03-31,0.04186607184128288,-0.1298698647552301,-0.062432419542095996,0.5628832674749482,0.48995108068015975,0.3413421853223586
BBBY,2011-03-31,0.01879455321564394,-0.04611646215521603,0.0006365518050639452,0.39527779148155295,0.4449372510743508,0.46948162458578757
F,2011-03-31,0.010162462513217285,-0.11197150812501122,0.21614992794189614,0.3999250021018711,0.35241894105011773,0.31673598036460043
